User	Revenue	Employees	Age	Title-Owner	Title-VP	Title-Purchaser	Industry-Restaurant	Industry-Contractor	Industry-Manufacturer	Sector-Service	Sector-Industrial	Sex-M	Pitch-Lower Price	Pitch-Group puchasing	Pitch-Negotiating	Relationship-Yes	Contact-In person	Contact-Email	Contact-Phone
0	500000.00	15	33	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0
0	25000000.00	350	55	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0
1	10000000.00	120	27	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0
1	13000000.00	130	65	1	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0
1	3500000.00	19	45	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1
1	1700000.00	8	36	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0
0	3000000.00	11	27	0	0	1	0	0	1	0	1	1	0	1	0	0	1	0	0
1	70000000.00	340	67	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0
0	3500000.00	23	75	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0
0	750000.00	12	43	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0
0	400000.00	11	26	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0
1	750000.00	12	45	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0
1	300000.00	7	71	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0
1	1100000.00	7	19	1	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0
1	45000000.00	67	23	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1
1	2300000.00	23	29	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0
1	2100000.00	17	45	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1
1	100000.00	5	38	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0
0	1200000.00	9	39	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0
0	6700000.00	23	43	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0
0	2300000.00	19	46	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0
1	1100000.00	11	17	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0
1	200000.00	3	34	1	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0
1	2500000.00	7	34	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0
0	560000.00	7	34	1	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0
0	10000.00	1	56	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1
0	2300000.00	12	46	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1
1	4500000.00	21	70	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0
1	1200000.00	7	54	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0
1	120000.00	6	23	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1
1	340000.00	4	12	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1
0	45000.00	2	16	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0
1	6700000.00	16	23	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0
0	120000.00	4	67	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0
1	10000.00	1	34	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
1	1200000.00	6	27	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0
1	2300000.00	5	34	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1
1	3500000.00	23	56	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0
1	34000000.00	275	38	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0
1	12000000.00	90	39	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0
1	45000000.00	180	23	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0
1	1000000.00	6	36	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0
